iso;country;language;id;region1;region2;region3;region4;locality;postcode;suburb;latitude;longitude;elevation;iso2;fips;nuts;hasc;stat;timezone;utc;dst
DE;Deutschland;DE;1031342961;Berlin;;Berlin;;Berlin;13127;Französisch Buchholz;52.594157;13.430160;44;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342962;Berlin;;Berlin;;Berlin;13158;Französisch Buchholz;52.596247;13.419417;47;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343229;Berlin;;Berlin;;Berlin;12157;Friedenau;52.496302;13.492010;31;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343230;Berlin;;Berlin;;Berlin;12159;Friedenau;52.479862;13.341202;39;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343231;Berlin;;Berlin;;Berlin;12161;Friedenau;52.467625;13.334648;54;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343232;Berlin;;Berlin;;Berlin;12163;Friedenau;52.465943;13.324512;51;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343233;Berlin;;Berlin;;Berlin;14197;Friedenau;52.473808;13.321483;52;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342639;Berlin;;Berlin;;Berlin;10315;Friedrichsfelde;52.506214;13.497410;36;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342640;Berlin;;Berlin;;Berlin;10317;Friedrichsfelde;52.494988;13.495979;34;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342641;Berlin;;Berlin;;Berlin;10318;Friedrichsfelde;52.482742;13.528386;40;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342642;Berlin;;Berlin;;Berlin;10319;Friedrichsfelde;52.498272;13.513837;36;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342877;Berlin;;Berlin;;Berlin;12587;Friedrichshagen;52.462834;13.595961;37;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342626;Berlin;;Berlin;;Berlin;10243;Friedrichshain;52.511830;13.439777;40;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342627;Berlin;;Berlin;;Berlin;10245;Friedrichshain;52.502940;13.462919;34;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342628;Berlin;;Berlin;;Berlin;10247;Friedrichshain;52.510262;13.459708;41;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342629;Berlin;;Berlin;;Berlin;10249;Friedrichshain;52.517612;13.444758;42;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343036;Berlin;;Berlin;;Berlin;13465;Frohnau;52.627790;13.292088;63;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031343194;Berlin;;Berlin;;Berlin;14089;Gatow;52.479134;13.182692;33;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
